image_idx,ix,pole_num,kiro_tei,measurement_area,camera_num,image_name,trolley_id,measured_upper_edge,measured_lower_edge,estimated_upper_edge,estimated_lower_edge,estimated_width,estimated_width_std,brightness_center,brightness_mean,brightness_std,estimated_slope,upper_boundary,lower_boundary,estimated_upper_edge_variance,estimated_lower_edge_variance,estimated_slope_variance,trolley_end_reason,mask_edgelog_1,mask_edgelog_2
883,883000,3,103.101721,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,705.0,714.0,705.0,714.0,9.0,,253.0,221.75,56.90625,0.0,,,0.75048828125,0.75048828125,0.001049041748046875,,0.0,0.0
883,883001,3,103.10172299999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,252.0,206.125,70.0625,0.0004789720805863059,,,0.60205078125,0.60205078125,0.0010976791381835938,,0.0,0.0
883,883002,3,103.101725,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,705.0,714.0,705.0,715.0,10.0,,254.0,209.5,68.25,0.0003370182902689323,,,0.50439453125,0.50390625,0.0011444091796875,,0.0,0.0
883,883003,3,103.101727,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,252.0,205.125,70.5625,0.0011046731597597044,,,0.435546875,0.435546875,0.0011882781982421875,,0.0,0.0
883,883004,3,103.10172899999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,705.0,714.0,705.0,715.0,10.0,,255.0,209.375,67.75,0.0007684941931999429,,,0.385498046875,0.38525390625,0.0012292861938476562,,0.0,0.0
883,883005,3,103.101731,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,207.5,68.625,0.0017853998508082932,,,0.347900390625,0.34765625,0.0012664794921875,,0.0,0.0
883,883006,3,103.101733,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.0,67.875,0.0028179761976139684,,,0.3193359375,0.319091796875,0.0012989044189453125,,0.0,0.0
883,883007,3,103.10173499999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.5,67.1875,0.0038490067245209696,,,0.297119140625,0.297119140625,0.0013275146484375,,0.0,0.0
883,883008,3,103.101737,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.375,67.25,0.0048614326190037985,,,0.280029296875,0.280029296875,0.00135040283203125,,0.0,0.0
883,883009,3,103.101739,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,209.5,66.1875,0.005838432045436335,,,0.266845703125,0.266845703125,0.0013675689697265625,,0.0,0.0
883,883010,3,103.101741,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,209.625,66.0625,0.006763848067707773,,,0.2568359375,0.256591796875,0.0013790130615234375,,0.0,0.0
883,883011,3,103.101743,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.5,66.75,0.0076227917910183015,,,0.2491455078125,0.2489013671875,0.001384735107421875,,0.0,0.0
883,883012,3,103.101745,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.625,66.1875,0.008402286324849443,,,0.2432861328125,0.2430419921875,0.001384735107421875,,0.0,0.0
883,883013,3,103.101747,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.125,65.375,0.009091840923703904,,,0.23876953125,0.2386474609375,0.0013790130615234375,,0.0,0.0
883,883014,3,103.101749,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.75,64.5,0.009683870489480243,,,0.2354736328125,0.2352294921875,0.001369476318359375,,0.0,0.0
883,883015,3,103.101751,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.125,64.6875,0.010173907793206408,,,0.23291015625,0.232666015625,0.0013551712036132812,,0.0,0.0
883,883016,3,103.101753,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,208.0,66.4375,0.010560591606410055,,,0.23095703125,0.230712890625,0.0013370513916015625,,0.0,0.0
883,883017,3,103.101755,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,209.0,65.25,0.010845447679971414,,,0.2293701171875,0.2291259765625,0.001316070556640625,,0.0,0.0
883,883018,3,103.10175699999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.125,63.65625,0.011032505479224535,,,0.2279052734375,0.2276611328125,0.001293182373046875,,0.0,0.0
883,883019,3,103.101759,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.0,62.40625,0.011127808271178596,,,0.2266845703125,0.2264404296875,0.0012683868408203125,,0.0,0.0
883,883020,3,103.101761,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.5,61.78125,0.011138877071309124,,,0.2254638671875,0.2252197265625,0.00124359130859375,,0.0,0.0
883,883021,3,103.10176299999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,212.0,61.125,0.011074182221153495,,,0.22412109375,0.223876953125,0.0012178421020507812,,0.0,0.0
883,883022,3,103.101765,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,212.375,60.5625,0.010942663589571779,,,0.2227783203125,0.2225341796875,0.0011920928955078125,,0.0,0.0
883,883023,3,103.101767,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,212.875,59.96875,0.010753325380781643,,,0.221435546875,0.22119140625,0.0011682510375976562,,0.0,0.0
883,883024,3,103.101769,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,251.0,212.0,60.03125,0.01051491736448104,,,0.2198486328125,0.2196044921875,0.0011444091796875,,0.0,0.0
883,883025,3,103.101771,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,252.0,211.125,61.21875,0.010235702922363882,,,0.21826171875,0.2181396484375,0.00112152099609375,,0.0,0.0
883,883026,3,103.101773,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,253.0,210.125,62.21875,0.009923306385264829,,,0.2166748046875,0.2164306640625,0.0011005401611328125,,0.0,0.0
883,883027,3,103.101775,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,253.0,210.125,62.6875,0.009584627603721401,,,0.21484375,0.2147216796875,0.0010814666748046875,,0.0,0.0
883,883028,3,103.101777,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,210.125,63.03125,0.009225809937641216,,,0.213134765625,0.212890625,0.0010633468627929688,,0.0,0.0
883,883029,3,103.101779,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,209.75,63.3125,0.00885224806936355,,,0.2113037109375,0.2110595703125,0.0010461807250976562,,0.0,0.0
883,883030,3,103.101781,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,209.875,62.84375,0.008468623472245137,,,0.20947265625,0.2093505859375,0.0010309219360351562,,0.0,0.0
883,883031,3,103.101783,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.75,61.625,0.008078957382580661,,,0.2076416015625,0.20751953125,0.0010175704956054688,,0.0,0.0
883,883032,3,103.10178499999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.75,62.4375,0.007686673284258702,,,0.205810546875,0.2056884765625,0.0010051727294921875,,0.0,0.0
883,883033,3,103.101787,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.625,62.5,0.007294662947270155,,,0.2041015625,0.203857421875,0.0009946823120117188,,0.0,0.0
883,883034,3,103.101789,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.625,62.8125,0.0069053518184678765,,,0.2022705078125,0.2021484375,0.0009851455688476562,,0.0,0.0
883,883035,3,103.10179099999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.75,62.90625,0.006520760993069113,,,0.2005615234375,0.200439453125,0.0009760856628417969,,0.0,0.0
883,883036,3,103.101793,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.75,63.21875,0.006142564102813516,,,0.198974609375,0.19873046875,0.00096893310546875,,0.0,0.0
883,883037,3,103.101795,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.875,63.09375,0.005772138276719997,,,0.1973876953125,0.1971435546875,0.0009622573852539062,,0.0,0.0
883,883038,3,103.101797,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,210.875,62.9375,0.005410608911140764,,,0.19580078125,0.1956787109375,0.0009570121765136719,,0.0,0.0
883,883039,3,103.101799,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.0,62.90625,0.00505888837708227,,,0.1943359375,0.1942138671875,0.0009522438049316406,,0.0,0.0
883,883040,3,103.101801,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.375,62.75,0.004717709039938294,,,0.1929931640625,0.1927490234375,0.0009479522705078125,,0.0,0.0
883,883041,3,103.101803,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,210.25,62.78125,0.004387651108293388,,,0.191650390625,0.19140625,0.0009446144104003906,,0.0,0.0
883,883042,3,103.101805,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.125,62.5625,0.004069165895114404,,,0.1903076171875,0.190185546875,0.0009417533874511719,,0.0,0.0
883,883043,3,103.101807,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.5,62.53125,0.0037625950902210217,,,0.189208984375,0.18896484375,0.0009393692016601562,,0.0,0.0
883,883044,3,103.101809,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,210.0,63.0,0.003468186625103065,,,0.18798828125,0.1878662109375,0.0009374618530273438,,0.0,0.0
883,883045,3,103.101811,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,210.75,62.78125,0.003186107672793978,,,0.18701171875,0.186767578125,0.0009355545043945312,,0.0,0.0
883,883046,3,103.10181299999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,255.0,211.875,62.21875,0.0029164552756386123,,,0.18603515625,0.185791015625,0.000934600830078125,,0.0,0.0
883,883047,3,103.101815,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,705.0,715.0,10.0,,254.0,211.375,62.21875,0.0026592650386394784,,,0.18505859375,0.1849365234375,0.0009336471557617188,,0.0,0.0
883,883048,3,103.101817,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,715.0,706.0,715.0,9.0,,255.0,225.25,49.65625,0.005169240558161807,,,0.1842041015625,0.1839599609375,0.0009326934814453125,,0.0,0.0
883,883049,3,103.10181899999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005471.jpg,trolley3,706.0,714.0,706.0,715.0,9.0,0.239897937482095,255.0,224.125,51.09375,0.004637905059588965,,,0.183349609375,0.1832275390625,0.0009322166442871094,,0.0,0.0
