image_idx,ix,pole_num,kiro_tei,measurement_area,camera_num,image_name,trolley_id,measured_upper_edge,measured_lower_edge,estimated_upper_edge,estimated_lower_edge,estimated_width,estimated_width_std,brightness_center,brightness_mean,brightness_std,estimated_slope,upper_boundary,lower_boundary,estimated_upper_edge_variance,estimated_lower_edge_variance,estimated_slope_variance,trolley_end_reason,mask_edgelog_1,mask_edgelog_2
431,431000,22,65.229997,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,199.0,187.75,23.75,0.0,,,0.75048828125,0.75048828125,0.001049041748046875,,0.0,0.0
431,431001,22,65.22999899999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,190.0,181.375,23.765625,0.0,,,0.60205078125,0.60205078125,0.0010976791381835938,,0.0,0.0
431,431002,22,65.230001,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,194.0,181.625,25.21875,0.0,,,0.50439453125,0.50390625,0.0011444091796875,,0.0,0.0
431,431003,22,65.230003,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,196.0,182.875,26.1875,0.0,,,0.435546875,0.435546875,0.0011882781982421875,,0.0,0.0
431,431004,22,65.23000499999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,201.0,186.875,30.796875,0.0,,,0.385498046875,0.38525390625,0.0012292861938476562,,0.0,0.0
431,431005,22,65.230007,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,193.0,180.125,28.4375,0.0,,,0.347900390625,0.34765625,0.0012664794921875,,0.0,0.0
431,431006,22,65.230009,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,193.0,180.625,25.96875,0.0,,,0.3193359375,0.319091796875,0.0012989044189453125,,0.0,0.0
431,431007,22,65.23001099999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,188.0,182.25,23.359375,0.0,,,0.297119140625,0.297119140625,0.0013275146484375,,0.0,0.0
431,431008,22,65.230013,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,189.0,184.5,20.609375,0.0,,,0.280029296875,0.280029296875,0.00135040283203125,,0.0,0.0
431,431009,22,65.230015,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,199.0,184.25,24.953125,0.0,,,0.266845703125,0.266845703125,0.0013675689697265625,,0.0,0.0
431,431010,22,65.230017,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,186.0,179.125,22.109375,0.0,,,0.2568359375,0.256591796875,0.0013790130615234375,,0.0,0.0
431,431011,22,65.230019,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,225.0,190.25,28.140625,0.0,,,0.2491455078125,0.2489013671875,0.001384735107421875,,0.0,0.0
431,431012,22,65.230021,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,226.0,192.75,31.203125,0.0,,,0.2432861328125,0.2430419921875,0.001384735107421875,,0.0,0.0
431,431013,22,65.230023,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005019.jpg,trolley2,601.0,617.0,601.0,617.0,16.0,,196.0,187.125,26.4375,0.0,,,0.23876953125,0.2386474609375,0.0013790130615234375,,0.0,0.0
