image_idx,ix,pole_num,kiro_tei,measurement_area,camera_num,image_name,trolley_id,measured_upper_edge,measured_lower_edge,estimated_upper_edge,estimated_lower_edge,estimated_width,estimated_width_std,brightness_center,brightness_mean,brightness_std,estimated_slope,upper_boundary,lower_boundary,estimated_upper_edge_variance,estimated_lower_edge_variance,estimated_slope_variance,trolley_end_reason,mask_edgelog_1,mask_edgelog_2
444,444000,22,66.319228,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,198.0,195.75,29.453125,0.00024987506246876566,,,0.75048828125,0.75048828125,0.001049041748046875,,0.0,0.0
444,444001,22,66.31922999999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,198.0,195.75,27.796875,0.0006086852317835944,,,0.60205078125,0.60205078125,0.0010976791381835938,,0.0,0.0
444,444002,22,66.319232,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,204.0,195.125,27.375,0.0010276981455385184,,,0.50439453125,0.50390625,0.0011444091796875,,0.0,0.0
444,444003,22,66.319234,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,201.0,188.0,27.796875,0.0014837571890958376,,,0.435546875,0.435546875,0.0011882781982421875,,0.0,0.0
444,444004,22,66.31923599999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,202.0,188.375,29.359375,0.001962636012742068,,,0.385498046875,0.38525390625,0.0012292861938476562,,0.0,0.0
444,444005,22,66.319238,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,195.0,187.875,27.71875,0.0024535281084861332,,,0.347900390625,0.34765625,0.0012664794921875,,0.0,0.0
444,444006,22,66.31924,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,200.0,190.125,27.5625,0.002946930497913413,,,0.3193359375,0.319091796875,0.0012989044189453125,,0.0,0.0
444,444007,22,66.31924199999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,201.0,187.75,27.5625,0.0034338185127148297,,,0.297119140625,0.297119140625,0.0013275146484375,,0.0,0.0
444,444008,22,66.319244,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,206.0,191.75,27.734375,0.003905408081409767,,,0.280029296875,0.280029296875,0.00135040283203125,,0.0,0.0
444,444009,22,66.31924599999999,Musashino_007_IchikawaOhno-FunabashiHoten_up_20240410_day,HD21,2024_0041_HD21_01_00005032.jpg,trolley1,604.0,619.0,604.0,619.0,15.0,,204.0,191.0,29.328125,0.0043532227898710595,,,0.266845703125,0.266845703125,0.0013675689697265625,,0.0,0.0
